tanggal,waktu,content,username,content_final,cluster,sentimen_lexicon,sentimen_kmeans
2025-11-21,14:36:27,@gufronian @awesomeposted Ya ibarat kan bang syukur kalo muslim emang udah diwajibin buat selektif milih makanan apalagi sertifikasi halal kan ketat masa iya literally disuruh kitab sucinya tp masi salah milih makanan berarti emang reading comprehension nya jelek,,bang syukur kalo muslim emang udah diwajibin selektif milih makan sertifikasi halal ketat iya literally suruh kitab suci mas salah milih makan emang reading comprehension nya jelek,1,Netral,Negatif
2025-11-21,04:16:04,@repaaldoo @AryaDwipangga03 @GNFI Tapi kalau gitu redudansi atau pengulangan kata jadinya kata halal nya di tulis 2 kali Gimana kalau setiap makanan dan minumal wajib berserfirikasi dari mui Atau sekarang yang membawahi sertifikasi halal siapa ya?,,gitu redudansi ulang halal nya tulis kali gimana makan minumal wajib berserfirikasi mui bawah sertifikasi halal,1,Positif,Negatif
2025-11-21,00:07:49,Adakah sertifikasi untuk makanan tidak halal?,,ada sertifikasi makan halal,1,Positif,Negatif
2025-11-20,17:38:01,@M4ngU5il Indonesia itu berpenduduk mayoritas muslim sejatinya makanan halal jauh lebih banyak ketimbang non halal. Program yg logis &amp; hemat biaya adalah sertifikasi makanan non halal. Begitu ada cuannya semua mau diatur rakyat juga yg menanggung bebannya !! Jangan jadi pemeras rakyat !!,,indonesia duduk mayoritas muslim sejati makan halal ketimbang non halal program logis hemat biaya sertifikasi makan non halal cuannya atur rakyat tanggung beban peras rakyat,1,Positif,Negatif
2025-11-20,12:54:50,@GNFI Logika yg kebalik di mayoritas negara muslim..harusnya yg di sertifikasi adalah makanan non halal..bukan malah yg halal..lagi2 bisnis MUI,,logika balik mayoritas negara muslimharusnya sertifikasi makan non halalbukan halallagi bisnis mui,1,Positif,Negatif
2025-11-20,12:23:18,@GNFI Kalo jual makanan kucing wajib sertifikasi halal juga kah? Takut kucingnya muslim kalo asal jual,,kalo jual makan kucing wajib sertifikasi halal takut kucing muslim kalo jual,1,Positif,Negatif
2025-11-20,09:18:31,Ada aja akal bulusnya buat malak rakyat lagi ni Menag dg embel2 sertifikasi halal buat semua produk makanan duit dr tambang sama dana haji masih kurang kah?,,akal bulus malak rakyat menag embel sertifikasi halal produk makan duit tambang dana haji,1,Positif,Negatif
2025-11-20,08:43:19,@GNFI Negara mayoritas muslim pake sertifikasi halal aja udah aneh seharusnya cukup makanan non hala aja yg dikasih sertifikasi non halal karna jumlah mereka lebih dikit dan lebih enak diatur emang dasarnya ni negara kocak.,,negara mayoritas muslim pake sertifikasi halal udah aneh makan non hala kasih sertifikasi non halal karna dikit enak atur emang dasar negara kocak,1,Positif,Negatif
2025-11-20,08:28:17,URUS IZIN HALAL OLAHAN ESKRIM Ingin mengurus perizinan halal untuk keperluan usaha anda? PT. Konsultan Legal Indo siap membantu anda untuk mengurus Perizinan Sertifikasi Halal seperti produk makanan minuman kosmetik dan bar.. Selengkapnya di https://t.co/cyHKgFdHnl,,urus izin halal olah eskrim urus izin halal perlu usaha konsultan legal indo bantu urus izin sertifikasi halal produk makan minum kosmetik bar lengkap,1,Positif,Negatif
2025-11-20,08:28:00,@GNFI Good news dari mananya ini? Halal-haram makanan itu pengetahuan umum bagi muslim gak perlu ada sertifikasi. Toh kalaupun yg makan/minum gak tau gak akan dosa juga. Masih lebih logis sertifikasi keamanan pangan daripada sertifikasi halal.,,good news mana halalharam makan tahu muslim sertifikasi makanminum tau dosa logis sertifikasi aman pangan sertifikasi halal,1,Positif,Negatif
2025-11-20,06:07:53,@GNFI Indonesia negara muslim yg katanya terbesar tp msh sibuk sertifikasi makanan halal. Seharusnya yg disertifikasi adalah makanan non-halal kok yg muslim yg jumlahnya lbh byk malah sulit mau makan,,indonesia negara muslim besar msh sibuk sertifikasi makan halal sertifikasi makan nonhalal muslim lbh byk sulit makan,1,Positif,Negatif
2025-11-20,06:04:55,@tdkpakaigula @GNFI Btw makanan halal itu bukan harus melalui uji sertifikasi kan. Siapa yang bayar biayanya?,,btw makan halal uji sertifikasi bayar biaya,1,Positif,Negatif
2025-11-17,09:13:00,Pemerintah memberikan waktu pelaku usaha untuk melakukan sertifikasi halal pada semua produk hingga Oktober 2026. https://t.co/JdRU03FamB,,perintah laku usaha sertifikasi halal produk oktober,1,Positif,Negatif
2025-11-14,21:12:17,@kompascom Bagi konoha lebih penting sertifikasi halal semua produk daripada terpapar nuklir keracunan mbg saja dianggap biasa apalagi nuklir. Presiden nya jalan2 keliling dunia masa bodo. Coba ada kasus di pabrik itu ada makanan mengandung babi pasti pemerintah dan MUI lgs nge gas,,konoha sertifikasi halal produk papar nuklir racun mbg anggap nuklir presiden nya jalan keliling dunia bodo coba pabrik makan kandung babi perintah mui lgs nge gas,1,Netral,Negatif
2025-11-14,04:36:40,5 Bahan Baku Makanan yang Wajib Halal untuk Urus Sertifikasi Halal https://t.co/PHkqhHcza6,,bahan baku makan wajib halal urus sertifikasi halal,1,Positif,Negatif
2025-11-13,14:05:15,@halalindonesia_ Kolaborasi yang patut diapresiasi.pentiing sekali sertifikasi halal untuk produk MBG supaya anak anak aman dari makanan ya g tidak halal,,kolaborasi patut diapresiasipentiing sertifikasi halal produk mbg anak anak aman makan halal,1,Positif,Negatif
2025-11-11,23:20:09,@halalindonesia_ Penting banget nih bagi produsen makanan untuk punya sertifikasi halal resmi. Konsumen Indonesia mayoritas muslim dan butuh jaminan itu,,banget produsen makan sertifikasi halal resmi konsumen indonesia mayoritas muslim butuh jamin,1,Positif,Negatif
2025-11-07,10:22:10,URUS IZIN HALAL COKLAT OLAHAN Ingin mengurus perizinan halal untuk keperluan usaha anda? PT. Konsultan Legal Indo siap membantu anda untuk mengurus Perizinan Sertifikasi Halal seperti produk makanan minuman kosmetik dan bar.. Selengkapnya di https://t.co/cyHKgFdHnl,,urus izin halal coklat olah urus izin halal perlu usaha konsultan legal indo bantu urus izin sertifikasi halal produk makan minum kosmetik bar lengkap,1,Positif,Negatif
2025-11-06,04:12:43,@FashionIin @jarudin59 @yaniarsim @prabowo Di Solo Gibran memajukan UMKM kuliner lewat program pelatihan akses modal murah dan sertifikasi halal yang dorong daya saing pelaku usaha. Upaya ini tak hanya angkat satu jenis makanan tapi bangun ekosistem pariwisata kuliner yang tarik wisatawan dan tingkatkan pendapatan,,solo gibran maju umkm kuliner program latih akses modal murah sertifikasi halal dorong daya saing laku usaha upaya angkat jenis makan bangun ekosistem pariwisata kuliner tarik wisatawan tingkat dapat,1,Positif,Negatif
2025-11-05,04:16:01,@Taka_99__77 @azki1825 @Paramecwara @porscheruby Terima kasih atas apresiasinya! Sertifikasi halal pada kulkas memang dirancang untuk menjamin kemurnian bahan yang bersentuhan dengan makanan menghindari kontaminasi tidak terlihat seperti alkohol dalam lapisan atau lemak najis. Ini bagian dari prinsip Islam yang luas soal,,terima kasih apresiasi sertifikasi halal kulkas rancang jamin murni bahan sentuh makan hindar kontaminasi alkohol lapis lemak najis prinsip islam luas,1,Positif,Negatif
2025-11-05,03:57:52,@azki1825 @Taka_99__77 @Paramecwara @porscheruby Sertifikasi halal untuk kulkas memastikan bahan baku proses produksi dan rantai pasok bebas dari unsur haram seperti lemak babi alkohol atau kontaminasi najis sehingga tidak mencemari makanan secara tidak langsung. Halal secara luas berarti suci dan diperbolehkan menurut,,sertifikasi halal kulkas bahan baku proses produksi rantai pasok bebas unsur haram lemak babi alkohol kontaminasi najis cari makan langsung halal luas suci boleh,1,Negatif,Negatif
2025-11-05,03:42:50,@hapuskanpinjol @rakyatkecik @Roebanie Tidak Dinas Ketahanan Pangan tidak memiliki wewenang khusus untuk menyelidiki atau menyatakan status halal/non-halal makanan yang dijual ke masyarakat. Sertifikasi halal diatur secara terpusat oleh Badan Penyelenggara Jaminan Produk Halal (BPJPH) dan Majelis Ulama Indonesia,,dinas tahan pangan milik wewenang khusus selidik status halalnonhalal makan jual masyarakat sertifikasi halal atur pusat badan selenggara jamin produk halal bpjph majelis ulama indonesia,1,Netral,Negatif
2025-11-04,05:40:20,@ikanlelegex @tigor_na70 @txtdrimedia Bukan tapi hanya masalah adminitratif lagi ngurus sertifikasi halal. Non halal bukan karena makanan mengandung bahan haram tapi cuma belum terdaftar aja. Tapi petugas sudah langsung masang stiker non halal aja. ,,adminitratif ngurus sertifikasi halal non halal makan kandung bahan haram daftar tugas langsung masang stiker non halal,1,Netral,Negatif
2025-11-04,04:08:08,@txtdrimedia Lho salahnya dimana? Stop him when he's telling lies. Makanan aja harus ada sertifikasi halal. Mayoritas kalo ngadain terop gede²an kalo yang minoritas protes dianggep kafir. Kalo yang minoritas ngada'in doa kecil²an digebukin bahkan sampw dibacok. Padahal ini negara pancasila.,,lho salah stop him when hes telling lies makan sertifikasi halal mayoritas kalo ngadain terop gede an kalo minoritas protes dianggep kafir kalo minoritas ngadain doa kecil an digebukin sampw bacok negara pancasila,1,Negatif,Negatif
2025-11-04,03:58:07,Lho salahnya dimana? Stop him when he's telling lies. Makanan aja harus ada sertifikasi halal. Padahal negara Indonesia negara Pancasila bukan negara muslim.,,lho salah stop him when hes telling lies makan sertifikasi halal negara indonesia negara pancasila negara muslim,1,Netral,Negatif
2025-11-03,02:33:11,@halalindonesia_ Mantap nih produk dengan sertifikasi halal memang sangat membantu saat kita mau belanja makanan,,mantap produk sertifikasi halal bantu belanja makan,1,Positif,Negatif
2025-11-03,02:25:14,@halalindonesia_ karena dengan sertifikasi halal membuat saya sebagai konsumen merasa lebih aman dan nyaman dalam mengkonsumsi makanan yang saya beli,,sertifikasi halal konsumen aman nyaman konsumsi makan beli,1,Positif,Negatif
2025-11-01,20:39:36,@sujokojiwo @GoodRecom Syaratnya emang jauh lebih mudah drpd urus sertifikasi halal ut makanan. https://t.co/QIswW0G4Oe,,syarat emang mudah drpd urus sertifikasi halal makan,1,Positif,Negatif
2025-10-31,07:20:59,@shehzaezen @CakKhum Hello skrg semua yg kerja di dapur MBG hrs punya sertifikasi penjamah makanan dapur hrs punya SLHS Halal next HaCCP ISO 45000 dan ISO 22000 All berhubungan dgn higienitas Untuk rasa dapur MBG sdh mulai diwajibkan pakai/didampingi Chef Bersertifikasi,,hello skrg kerja dapur mbg hrs sertifikasi jamah makan dapur hrs slhs halal next haccp iso iso all hubung higienitas dapur mbg sdh wajib pakaididampingi chef sertifikasi,1,Positif,Negatif
2025-10-28,08:13:09,@detikcom @detikjogja_ Makanan tdk halal skrg pake sertifikasi non halal?,,makan tdk halal skrg pake sertifikasi non halal,1,Positif,Negatif
2025-10-28,01:47:05,Proses Sertifikasi Halal: Pahami 2 Syarat Kritis &amp; Kategori https://t.co/r6eI7nAYH3,,proses sertifikasi halal paham syarat kritis kategori,1,Positif,Negatif
2025-10-27,16:22:14,@SUARAKRISTEN1 @Smart_O_ @mawakresna Polisi mengelola SPPG sebagai satuan khusus Polri untuk mendukung program Makanan Bergizi Gratis (MBG) pemerintah. SPPG bertanggung jawab atas produksi pengolahan dan distribusi makanan yang aman higienis serta memenuhi standar gizi tinggi termasuk sertifikasi halal dan,,polisi kelola sppg satu khusus polri dukung program makan gizi gratis mbg perintah sppg tanggung produksi olah distribusi makan aman higienis penuh standar gizi sertifikasi halal,1,Positif,Negatif
2025-10-27,10:54:41,PP No. 42 Tahun 2024 mewajibkan pelaku usaha produk makanan/minuman obat hingga kosmetik untuk menuntaskan sertifikasi halal paling lambat 17 Oktober 2026 ,,wajib laku usaha produk makananminuman obat kosmetik tuntas sertifikasi halal lambat oktober,1,Positif,Negatif
2025-10-25,13:29:42,Dalam rapat evaluasi pelaksanaan program SPPG menyoroti pentingnya pengawasan terpadu dan disiplin penerapan SOP guna mencegah kembali terjadinya kontaminasi makanan. Pembentukan Satgas lintas lembaga peningkatan higienitas serta percepatan sertifikasi SLHS dan halal menjadi https://t.co/7H9w4UDpiF,,rapat evaluasi laksana program sppg sorot awas padu disiplin terap sop cegah kontaminasi makan bentuk satgas lintas lembaga tingkat higienitas cepat sertifikasi slhs halal,1,Positif,Negatif
2025-10-25,03:23:02,sertifikasi halal buat ribuan warteg dan warmindo ini bukan cuma soal label tapi soal menjaga kualitas kepercayaan dan identitas bangsa 🇮🇩 makanan enak aman dan penuh keberkahan #HalalIndonesiaUntukDunia https://t.co/ECtpYMRqoA,,sertifikasi halal ribu warteg warmindo label jaga kualitas percaya identitas bangsa makan enak aman penuh berkah,1,Positif,Negatif
2025-10-23,16:48:57,Yang ada di Indonesia itu sertifikasi halal bukan informasi haram. Jadi tidak ada kewajiban tempat makan memberitahu makanan tidak halal kalau enggak ditanya. Tidak memberitahu kalau makanan di tempatnya haram ≠ menipu pelanggan.,,indonesia sertifikasi halal informasi haram wajib makan memberitahu makan halal memberitahu makan tempat haram tipu langgan,1,Netral,Negatif
2025-10-20,02:53:40,Mulai sekarang makanan gratis dari pemerintah WAJIB HALAL! Setiap dapur SPPG harus punya penyelia halal tersertifikasi. #Halal #MBG #SPPG #BPJPH #BGN #GiziAnak #Indonesia #update #news #seketika https://t.co/ooMSeDqk3V,,makan gratis perintah wajib halal dapur sppg selia halal sertifikasi,1,Positif,Negatif
2025-10-17,14:16:24,Satgas MBG Kulonprogo Soroti Kualitas Makanan dan Sertifikasi Halal https://t.co/kpvjhGRcvT https://t.co/GQIMKUFLpz,,satgas mbg kulonprogo sorot kualitas makan sertifikasi halal,1,Positif,Negatif
2025-10-17,08:24:51,@DivHumas_Polri Seharusnya memang begitu yg perlu diperhatikan adalah 1. Dapurnya sudah mempunyai ijin layak hygene 2. Petugasnya mempunyai sertifikat ijin menjamah makanan 3. Petugasnya tidak mengidap penyakit dengan bukti MCU terbaru. 4. Bahan baku termasuk air sertifikasi halal 5. Ada SOP,,perhati dapur ijin layak hygene tugas sertifikat ijin jamah makan tugas idap sakit bukti mcu baru bahan baku air sertifikasi halal sop,1,Positif,Negatif
2025-10-16,04:59:02,Dua lembaga satu visi: makanan halal sehat dan bergizi untuk semua! Kolaborasi implementasikan sertifikasi halal pada SPPG #BPJPHDukungBGN https://t.co/ZKJxkuamII,,lembaga visi makan halal sehat gizi kolaborasi implementasi sertifikasi halal sppg,1,Positif,Negatif
2025-10-16,04:57:41,Sertifikasi halal di MBG bukan cuma formalitas tapi bukti komitmen BPJPH dan BGN untuk keamanan dan kehalalan makanan. #BPJPHDukungBGN https://t.co/Dsju9E9M8R,,sertifikasi halal mbg formalitas bukti komitmen bpjph bgn aman halal makan,1,Positif,Negatif
2025-10-16,04:55:00,Mantap nih BPJPH dan BGN kolaborasi untuk implementasikan sertifikasi halal pada sppg. Nantinya makanan yang dibagikan dijamin layak konsumsi #BPJPHDukungBGN https://t.co/mR36Irk10x,,mantap bpjph bgn kolaborasi implementasi sertifikasi halal sppg makan bagi jamin layak konsumsi,1,Positif,Negatif
2025-10-16,04:55:00,BPJPH bersama BGN akan mulai terapkan sertifikasi halal di tiap dapur MBG sehingga makanan MBG dijamin kehalalannya #BPJPHDukungBGN https://t.co/BYM7rymuzq,,bpjph bgn terap sertifikasi halal dapur mbg makan mbg jamin halal,1,Positif,Negatif
2025-10-14,12:01:38,@halalindonesia_ Bener banget sertifikasi halal bukan untuk produk makanan saja namun produk2 lainnya juga perlu,,bener banget sertifikasi halal produk makan produk,1,Positif,Negatif
2025-10-14,05:38:15,Gais yg punya usaha makanan/minuman trs mau ada sertifikasi halal produknya. boleh DM aku ya. (Prioritas: Kab Semarang Kota Semarang Salatiga Kendal). nanti aku bantu pendampingannya. Nggak ada biaya free resmi &amp; legal. yang Minat atau tanya² DM/hubungi WA 085319456320,,gais usaha makananminuman trs sertifikasi halal produk prioritas kab semarang kota semarang salatiga kendal bantu damping biaya free resmi legal minat tanya dmhubungi,1,Positif,Negatif
2025-10-14,03:04:14,IKM Jawa Barat saatnya naik kelas dengan produk halal dan berdaya saing! Disperindag Jabar membuka fasilitasi Sertifikasi Halal bagi pelaku usaha produk makanan dan minuman. Yuk pastikan produkmu tidak hanya lezat dan berkualitas tapi juga aman halal dan penuh keberkahan! https://t.co/FoLnlzV3Rg,,ikm jawa barat kelas produk halal daya saing disperindag jabar buka fasilitas sertifikasi halal laku usaha produk makan minum pasti produk lezat kualitas aman halal penuh berkah,1,Positif,Negatif
2025-10-06,03:08:35,Pengawasan ketat diterapkan dalam Program MBG melalui sertifikasi SLHS HACCP dan halal. Tujuannya jelas: makanan bergizi yang aman untuk anak bangsa. #MakanBergiziGratis #LanjutkanMBG https://t.co/VosxgA3dfM,,awas ketat terap program mbg sertifikasi slhs haccp halal tuju makan gizi aman anak bangsa,1,Positif,Negatif
2025-10-05,08:03:12,SLHS HACCP dan sertifikasi halal di Program MBG bikin kualitas makanan anak-anak makin terjaga #LanjutkanMBG https://t.co/yBbpk2VwH0,,slhs haccp sertifikasi halal program mbg bikin kualitas makan anakanak jaga,1,Positif,Negatif
2025-10-05,05:26:25,Pemerintah menegaskan komitmennya menjaga kualitas MBG lewat tiga sertifikasi: SLHS HACCP dan halal. Langkah ini memastikan setiap makanan aman higienis dan layak konsumsi. Dengan sistem terpadu ini masa depan anak bangsa makin sehat dan kuat. Mari #LanjutkanMBG bersama. https://t.co/CoIaXzacAB,,perintah komitmen jaga kualitas mbg sertifikasi slhs haccp halal langkah makan aman higienis layak konsumsi sistem padu anak bangsa sehat kuat,1,Positif,Negatif
2025-10-04,02:31:41,Kepala Badan Penyelenggara Jaminan Produk Halal BPJPH Ahmad Haikal Hasan tegaskan Indonesia akan masuki era wajib halal pada 2026. Pemerintah berlakukan wajib sertifikasi halal semua produk yang dijual di Indonesia. Tidak hanya produk makanan dan minuman tetapi juga kosmetik ,,kepala badan selenggara jamin produk halal bpjph ahmad haikal hasan tegas indonesia masuk era wajib halal perintah laku wajib sertifikasi halal produk jual indonesia produk makan minum kosmetik,1,Positif,Negatif
2025-10-04,02:20:40,@halalindonesia_ Pastikan harus ada sertifikasi halal dulu kalo aku beli makanan kemasan ..dan scann supaya bner bner halal,,pasti sertifikasi halal kalo beli makan kemas scann bner bner halal,1,Positif,Negatif
2025-10-03,22:21:05,sertifikasi keamanan pangan kan udah ada BPOM? pangan segar minim/belum diolah udah ada OKKP daerah dan pusat??? makanan halal udah ada BPJPH????,,sertifikasi aman pangan udah bpom pangan segar minimbelum olah udah okkp daerah pusat makan halal udah bpjph,1,Positif,Negatif
2025-10-02,11:34:15,Mencegah kasus keracunan MBG menjadi KLB nasional Menkes Budi tetapkan dapur makanan MBG harus memiliki SLHS HACCP dan sertifikasi halal https://t.co/qKTUGSJ4yO,,cegah racun mbg klb nasional menkes budi tetap dapur makan mbg milik slhs haccp sertifikasi halal,1,Positif,Negatif
2025-10-01,16:10:30,@NurRohi03920969 @CNNIndonesia @prabowo BPOM adalah Badan Pengawas Obat dan Makanan yang mengawasi keamanan pangan secara umum. LPPOM-MUI (mungkin yg dimaksud LPOM) fokus pada sertifikasi halal. Lembaga baru dari BGN ini independen khusus sertifikasi untuk program makan bergizi gratis termasuk SLHS dan HACCP untuk,,bpom badan awas obat makan awas aman pangan lppommui lpom fokus sertifikasi halal lembaga bgn independen khusus sertifikasi program makan gizi gratis slhs haccp,1,Positif,Negatif
2025-09-30,18:30:42,@Piyusaja2 chef harus sertifikasi - duit lagi dapur harus sertifikasi halal - duit lagi harus ada ahli gizi - duit lagi endingnya budget makanan jd kaya nasi kucing 5000 per porsi,,chef sertifikasi duit dapur sertifikasi halal duit ahli gizi duit endingnya budget makan kaya nasi kucing porsi,1,Positif,Negatif
2025-09-30,06:18:28,Dulur Makmur Berikut kilasan Workshop Sertifikasi Laik Higiene Sanitasi (SLHS) Sertifikasi Halal Sertifikasi UMKM Penjamah Makanan bagi SPPG Kabupaten Sukoharjo yang digelar Ruang Rapat Wijaya 1 Gedung Menara Wijaya Sukoharjo Selasa (30/9/2025). . https://t.co/mFQxgSVOT8,,dulur makmur kilas workshop sertifikasi laik higiene sanitasi slhs sertifikasi halal sertifikasi umkm jamah makan sppg kabupaten sukoharjo gelar ruang rapat wijaya gedung menara wijaya sukoharjo selasa,1,Positif,Negatif
2025-09-29,09:22:34,URUS IZIN HALAL KUE BASAH Ingin mengurus perizinan halal untuk keperluan usaha anda? PT. Konsultan Legal Indo siap membantu anda untuk mengurus Perizinan Sertifikasi Halal seperti produk makanan minuman kosmetik dan barang .. Selengkapnya di https://t.co/cyHKgFdHnl,,urus izin halal kue basah urus izin halal perlu usaha konsultan legal indo bantu urus izin sertifikasi halal produk makan minum kosmetik barang lengkap,1,Positif,Negatif
2025-09-25,01:47:02,SPPG secara 90% lebih bermasalah kok. 8583 SPPG cuman 34 yang punya SLHS. haha padahal MBG udah berapa lama? Km mau makan ke tempat yg ga ada sertifikasi halal? Km mau makan ke tempat yg ga ada sertifikasi Higiene dan Sanitasi? Tapi kamu biarin anak2 makan makanan yg ga https://t.co/uHgPsCSnN8,,sppg masalah sppg cuman slhs haha mbg udah makan sertifikasi halal makan sertifikasi higiene sanitasi biarin anak makan makan,1,Negatif,Negatif
2025-09-21,01:17:09,Tahukah kamu? Terdapat Batas Waktu bagi Pelaku UMK dan Pelaku Usaha dari Luar Negeri untuk Melakukan Sertifikasi Halal bagi Produk Makanan Minuman Hasil Sembelihan dan Jasa Penyembelihan .. #HalalIndonesia #HalaluntukMasyarakatDunia https://t.co/0LftdCHSGk,,tahu batas laku umk laku usaha negeri sertifikasi halal produk makan minum hasil sembelih jasa sembelih,1,Positif,Negatif
2025-09-20,07:40:31,@yat_ever @BosPurwa Sertifikasi halal di Indonesia memang bergeser dari MUI ke BPJPH sejak 2019 dengan BPJPH mengeluarkan sertifikat berdasarkan fatwa MUI. Ada laporan masalah kontaminasi seperti minyak babi di produk makanan (misalnya permen pada Mei 2025 menurut BPJPH). Namun untuk keamanan,,sertifikasi halal indonesia geser mui bpjph bpjph keluar sertifikat dasar fatwa mui lapor kontaminasi minyak babi produk makan permen mei bpjph aman,1,Positif,Negatif
2025-09-20,02:06:11,Hah? Kalo konsepnya gini berarti resto2 korbeq yg jual samgyeopsal bisa dpt sertifikasi halal dong? Pdhl pas gue bljr ttg SJH alat yg dipake utk makanan haram dan halal harus dipisah,,hah kalo konsep gin resto korbeq jual samgyeopsal dpt sertifikasi halal pdhl pas gue bljr ttg sjh alat dipake makan haram halal pisah,1,Netral,Negatif
2025-09-19,23:58:39,@Nath_Tjoe_A_On @youngmasterjcw @leonthecatto @tempodotco LAHHHH???? lo baca sana regulasi indo itu emang sekarang mewajibkan sertifikasi halal untuk semua produk barang dan jasa yang diedarkan diperdagangkan dan digunakan di Indonesia termasuk makanan minuman obat-obatan kosmetik obat-obatan alami dan PRODUK-PRODUK LAIN,,lahhhh baca regulasi indo emang wajib sertifikasi halal produk barang jasa edar dagang indonesia makan minum obatobatan kosmetik obatobatan alami produkproduk,1,Positif,Negatif
2025-09-18,07:10:17,Mulai 17 Oktober 2024 penerapan Wajib Sertifikasi Halal telah memasuki tahap pertama. Artinya produk makanan minuman bahan baku hasil sembelihan dan jasa penyembelihan WAJIB bersertifikat halal . https://t.co/L3VauWXXuJ,,oktober terap wajib sertifikasi halal pasuk tahap produk makan minum bahan baku hasil sembelih jasa sembelih wajib sertifikat halal,1,Positif,Negatif
2025-09-18,03:11:37,Anda pelaku usaha mikro kecil Makanan minuman belum memiliki sertifikasi halal gratis hubungi kami. Khususnya untuk yang berada di Kabupaten dan Kota Bekasi. #Indonesiahalal https://t.co/YQHFTslKpT,,laku usaha mikro makan minum milik sertifikasi halal gratis hubung kabupaten kota bekas,1,Positif,Negatif
